Price,Close,High,Low,Open,Volume,RSI,SMA_50,SMA_200,MACD
2020-01-02,28.68400001525879,28.713333129882812,28.11400032043457,28.299999237060547,142981500,,,,
2020-01-03,29.53400039672852,30.266666412353516,29.128000259399414,29.366666793823242,266677500,,,,
2020-01-06,30.1026668548584,30.104000091552734,29.333332061767578,29.364667892456055,151995000,,,,
2020-01-07,31.270666122436523,31.441999435424805,30.224000930786133,30.760000228881836,268231500,,,,
2020-01-08,32.80933380126953,33.232666015625,31.215333938598633,31.579999923706055,467164500,,,,
2020-01-09,32.089332580566406,33.253334045410156,31.524667739868164,33.13999938964844,426606000,,,,
2020-01-10,31.87666702270508,32.3293342590332,31.579999923706055,32.11933135986328,194392500,,,,
2020-01-13,34.990665435791016,35.04199981689453,32.79999923706055,32.900001525878906,397764000,,,,
2020-01-14,35.861331939697266,36.49399948120117,34.99333190917969,36.284000396728516,434943000,,,,
2020-01-15,34.56666564941406,35.85599899291992,34.452667236328125,35.31733322143555,260532000,,,,
2020-01-16,34.232666015625,34.297332763671875,32.81133270263672,32.91666793823242,326050500,,,,
2020-01-17,34.03333282470703,34.37799835205078,33.54399871826172,33.840667724609375,204436500,,,,
2020-01-21,36.47999954223633,36.571998596191406,35.227333068847656,35.349998474121094,267052500,,,,
2020-01-22,37.97066879272461,39.633331298828125,37.27333450317383,38.125999450683594,470535000,,,,
2020-01-23,38.14666748046875,38.79999923706055,37.040000915527344,37.616668701171875,294765000,81.51813345930516,,,
2020-01-24,37.654666900634766,38.25733184814453,36.95066833496094,38.04199981689453,215304000,77.28714709653217,,,
2020-01-27,37.20133209228516,37.62933349609375,35.95199966430664,36.132667541503906,204121500,73.50165244473732,,,
2020-01-28,37.79333114624024,38.45399856567383,37.2053337097168,37.89933395385742,176827500,75.2092725539839,,,
2020-01-29,38.732666015625,39.31999969482422,37.82866668701172,38.37933349609375,267022500,77.66837646891072,,,
2020-01-30,42.72066879272461,43.391998291015625,41.20000076293945,42.16133117675781,435085500,84.63629717597696,,,
2020-01-31,43.37133407592773,43.53333282470703,42.167999267578125,42.66666793823242,235789500,85.4348170204105,,,
